weight,horsepower,torque,transmission,body style,drive train,quarter mile,0-60
1200.0,710.0,880.0,1,6,1,11.1 s @ 140.4 mph,3.3
1270.0,374.0,480.0,1,3,1,13.0 s @ 109.5 mph,4.5
1260.0,415.0,550.0,1,6,1,11.9 s,3.6
1355.0,360.0,465.0,1,6,1,13.2 s @ 116.2 mph,4.1
1423.0,435.0,470.0,1,6,1,12.6 s @ 120.5 mph,3.9
1299.0,345.0,380.0,1,3,1,12.9 s @ 108.7 mph,4.3
1300.0,310.0,359.0,1,3,1,13.6 s @ 103.8 mph,4.7
1425.0,400.0,440.0,1,6,1,12.8 s,4.2
884.0,96.0,123.0,1,2,0,17.4 s @ 81.0 mph,9.8
850.0,76.0,117.0,1,2,0,18.2 s @ 73.0 mph,12.0
1430.0,179.0,228.0,2,5,0,17.0 s,8.2
1190.0,136.0,185.0,1,5,0,,8.9
1190.0,200.0,232.0,1,6,0,15.0 s @ 98.0 mph,6.5
1315.0,110.0,161.0,1,5,1,18.9 s @ 73.8 mph,12.6
2360.0,632.0,800.0,2,6,1,,4.4
2127.0,304.0,542.0,2,5,1,,11.0
2580.0,460.0,720.0,2,6,1,,5.6
2485.0,460.0,720.0,1,5,1,14.3 s,5.5
2547.0,571.0,850.0,2,5,2,12.6 s @ 112.2 mph,4.2
2360.0,571.0,780.0,2,5,1,13.0 s @ 113.1 mph,4.6
2660.0,571.0,850.0,2,0,2,12.9 s @ 111.0 mph,4.5
2735.0,330.0,739.0,2,3,1,16.7 s @ 93.2 mph,7.5
1074.0,135.0,160.0,1,2,0,16.8 s,8.4
1085.0,133.0,160.0,1,2,0,17.5 s @ 89.5 mph,8.0
1371.0,224.0,300.0,1,2,0,14.7 s,5.9
1375.0,231.0,310.0,1,2,0,14.6 s,6.2
1450.0,173.0,360.0,1,2,0,17.4 s @ 90.7 mph,8.3
1419.0,300.0,400.0,1,2,0,13.6 s @ 105.0 mph,5.3
1398.0,224.0,300.0,1,2,0,15.4 s @ 96.3 mph,6.1
1302.0,279.0,361.0,1,2,0,13.9 s,4.8
1386.0,275.0,360.0,1,2,0,14.1 s,5.4
1350.0,279.0,361.0,1,2,0,,5.8
1409.0,265.0,360.0,1,2,0,14.4 s @ 102.5 mph,6.1
1383.0,269.0,360.0,1,2,0,15.8 s @ 104.4 mph,5.9
1460.0,280.0,390.0,3,5,0,14.1 s @ 102.8 mph,6.3
1232.0,230.0,310.0,1,2,0,14.5 s,5.8
1370.0,180.0,300.0,1,2,0,16.6 s @ 93.2 mph,7.3
1433.0,205.0,280.0,2,2,0,15.6 s,6.9
1320.0,179.0,300.0,1,6,0,16.6 s @ 93.8 mph,7.5
1633.0,179.0,380.0,1,5,0,15.8 s,7.5
1597.0,238.0,330.0,2,6,2,16.1 s @ 95.1 mph,7.0
1455.0,150.0,340.0,1,5,0,17.7 s @ 89.5 mph,8.3
951.0,96.0,155.0,1,6,1,,11.9
648.0,32.0,66.0,1,5,1,24.3 s,30.5
981.0,150.0,175.0,1,2,0,15.5 s,7.6
1381.0,230.0,300.0,1,2,1,16.5 s @ 101.9 mph,5.8
1279.0,197.0,215.0,1,2,0,15.9 s,6.4
1121.0,179.0,200.0,1,2,0,15.8 s @ 95.7 mph,6.7
1240.0,201.0,215.0,1,2,0,14.8 s,6.6
